"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960900343371587746","Thu Aug 28 03:00:48 +0000 2025","0","Suda open yuk update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960900343371587746","","","in","","0","0","0","https://x.com/undefined/status/1960900343371587746","1216253475505360896",
"1960871102470873208","Thu Aug 28 01:04:36 +0000 2025","2","Filem romantik yang mencatat 3 juta penonton Indonesia tahun ini akan tayang di pawagam Malaysia Sore: Istri Dari Masa Depan https://t.co/rZFlyhARW4 https://t.co/9NmSBUrWqB","1960871102470873208","https://pbs.twimg.com/media/GzZp4Eba4AYA0-Q.jpg","","in","","0","0","1","https://x.com/undefined/status/1960871102470873208","1648694089276350464",
"1960861510324117676","Thu Aug 28 00:26:29 +0000 2025","0","Song of the day adalah karolinanya sore tapi bukan sore istri dari masa depan ya beda. https://t.co/sMukMxPcTl","1960861510324117676","","","in","","0","1","0","https://x.com/undefined/status/1960861510324117676","1517445675423715333",
"1960854091376288151","Wed Aug 27 23:57:00 +0000 2025","0","Siapapun editin Whale Store Xoxo pake ostnya Sore istri dari masa depan dong WANMAEWNAM LOVE FOREVER #WhaleStorexoxoFinalEP #มิ้ลค์เลิฟ #MilkLove","1960854091376288151","","","in","","0","0","0","https://x.com/undefined/status/1960854091376288151","907939203366793216",
"1960848690714927457","Wed Aug 27 23:35:33 +0000 2025","0","Terbuang dalam Waktu - Barasuara Teriring sinematografi dari film Sore: Istri dari Masa Depan","1960848690714927457","","","in","","0","1","0","https://x.com/undefined/status/1960848690714927457","1873899607266357248",
"1951752811852791899","Wed Aug 27 22:08:53 +0000 2025","0","Film keluar Rabu 27/8 Out: - The Sun Gazar: Cinta dari langit 🆕 - Darah Nyai 🆕 Tayang 1. Hanya Namamu dalam Doaku 🆕 2. Labinak 🆕 3. La Tahzan: Cinta Dosa Luka... 4. Tinggal Meninggal 5. Panggil Aku Ayah 6. Sore Istri Dari Masa Depan #Semarang #Kofindo","1960826881340793300","","Kofindo","in","","0","1","2","https://x.com/undefined/status/1960826881340793300","551700617",
"1943468476477378835","Wed Aug 27 21:56:55 +0000 2025","0","[Hari 49#] Jadwal pemutaran film Sore Istri Dari Masa Depan Rabu (27/8): DP 12:00 14:20 16:40 19:00 21:20 The Park 12:15*","1960823869809549797","","Kofindo","in","","0","1","0","https://x.com/undefined/status/1960823869809549797","551700617",
"1960757817197125727","Wed Aug 27 17:34:27 +0000 2025","1","Film Sore istri dari masa depan bikin perasaan ga nyaman","1960757817197125727","","","in","","0","0","1","https://x.com/undefined/status/1960757817197125727","2428845209",
"1960752809433030903","Wed Aug 27 17:14:33 +0000 2025","4","pulang kerja enaknya nonton sore istri dari masa depan.... udah nonton 20x bang tolong segera di netflix bang gw ga tau mau cope pake apaan kalo udah turun layar https://t.co/7EQ3VUxuNa","1960752809433030903","https://pbs.twimg.com/media/GzX-SKKa4AYuTv6.jpg","","in","","0","0","0","https://x.com/undefined/status/1960752809433030903","515219607",
"1945369572959216017","Wed Aug 27 16:46:26 +0000 2025","0","Terkagum-kagum dengan karya Yandy Laurens yang satu ini. Gue coba menulis tentang film Sore: Istri dari Masa Depan. https://t.co/gNaEALC7d5","1960745734690759198","","mmalikfikr","in","","0","0","0","https://x.com/undefined/status/1960745734690759198","1290254314343034883",
"1945369572959216017","Wed Aug 27 16:40:43 +0000 2025","1","Awal pertama kali nonton film Sore: Istri dari Masa Depan gue kira ini drama romantis. Tetapi kayaknya kurang tepat film ini adalah perjalanan seseorang dalam dukanya.","1960744296719770048","","mmalikfikr","in","","0","1","1","https://x.com/undefined/status/1960744296719770048","1290254314343034883",
"1951311662889279666","Wed Aug 27 16:08:22 +0000 2025","0"," Hari ke-27 (27 Agustus 2025) Sore: Istri dari Masa Depan (180 halaman) https://t.co/y8y4P8TTdD Done 180/17 halaman ️ https://t.co/dEdkmKLLsS","1960736156104220935","https://pbs.twimg.com/media/GzXvJIna4AEeG7L.jpg","starbookaddict","in","","0","1","0","https://x.com/undefined/status/1960736156104220935","1910275096406892544",
